GDP,Average_Disposable_Income,Number_of_Health_Care_Institutions,Urban_Population,Rural_Population,Mobile_Internet_User,Number_medical_insurance,Aging_of_Population,5g_base_station,5g_user,Under_Graduate,Post_Graduate,Top_Rank_University,Public_Expenditure,Educational_Expenditure,Science_Expenditure,Insurance_Expenditure,Health_Expenditure,confirmedCount_end,suspectedCount_end,curedCount_end,deadCount_end,Urban_Portion,Edu_ratio,Sci_ratio,Ins_ratio,Hea_ratio,counts
41610.9,77415.0,12211,1912.8,271.5,3926.9,1886.9,0.188048307,76000,1436.0,60.3,43.5,34,7469.0,1171.0,488.0,1067.0,775.0,25249,164.0,14283,13,0.8757038868287322,0.15678136296693,0.06533672513053956,0.14285714285714285,0.10376221716427902,35028
15685.1,48976.0,6282,1160.0,203.0,1536.83,1175.0,0.177577236,54000,572.6,59.45,9.28,5,2751.0,480.0,63.0,553.0,174.0,2627,50.0,2566,3,0.851063829787234,0.17448200654307525,0.022900763358778626,0.2010178117048346,0.06324972737186478,1964
42370.4,30867.0,90206,4575.0,2845.0,7578.8,7091.0,0.175820458,83800,2559.4,177.37,8.18,1,9336.0,1767.0,117.0,1622.0,930.0,2839,0.0,2774,7,0.616576819407008,0.18926735218508997,0.012532133676092546,0.17373607540702657,0.09961439588688946,3528
25642.59,29178.0,41007,2226.5,1254.85,3325.81,3246.0,0.174473734,67000,1356.5,13.6,5.6,2,5872.0,861.0,61.0,999.0,494.0,5006,64.0,3882,0,0.6395507489910524,0.14662806539509537,0.010388283378746595,0.17012942779291554,0.08412806539509536,306
23159.0,35921.0,25062,1647.2,753.97,2577.0,2192.2,0.17043903,42000,874.4,53.5,3.8,1,3364.0,79.0,10.0,238.0,19.0,8237,35.0,7962,1,0.6859989088652615,0.02348394768133175,0.002972651605231867,0.07074910820451843,0.005648038049940547,171
28975.1,36089.0,32679,3064.0,1133.0,2420.8,3808.3,0.167774488,67000,1471.7,118.0,17.2,4,8858.0,703.0,78.0,1649.0,399.0,3023,0.0,2683,2,0.7300452704312604,0.0793632874237977,0.008805599458116957,0.18615940392865207,0.045044027997290584,870
13070.24,35471.0,25344,1496.1,851.51,2429.8,2290.3,0.167143652,28000,898.8,78.87,9.69,3,4044.0,497.8,22.4,896.9,381.6,40481,19.0,40422,5,0.6372647155288815,0.12309594460929772,0.005539070227497527,0.22178536102868446,0.0943620178041543,283
15901.0,28346.0,20599,2052.0,1047.0,3136.9,2821.1,0.159239453,54000,1134.8,91.2,11.3,4,5250.0,605.0,38.0,1450.0,364.0,5389,430.0,4984,13,0.6621490803484995,0.11523809523809524,0.007238095238095238,0.2761904761904762,0.06933333333333333,394
44652.8,79610.0,6421,2220.938,266.1515,3616.6,1978.5,0.159205007,68000,1275.6,55.48,24.49,15,9393.2,1109.0,427.8,1144.5,803.9,64978,393.0,64098,595,0.8929867622375471,0.11806413149938252,0.045543584720861896,0.12184346122727079,0.08558318783801047,1338
122875.6,49862.0,36997,6335.16,2179.84,8753.62,8063.8,0.154674156,186000,3631.8,221.9,30.0,16,14903.0,2597.0,679.0,1945.0,1440.0,3796,3.0,3667,0,0.744,0.17426021606387976,0.045561296383278535,0.13051063544252836,0.09662484063611354,1585
