year,month,month1,year1,confirmedCount_month,suspectedCount_month,curedCount_month,deadCount_month,counts
2021,1,1,2021,2110.0,14.0,853.0,2.0,2685
2021,2,2,2021,109.0,0.0,1356.0,0.0,3421
2021,3,3,2021,22.0,0.0,12.0,0.0,2409
2021,4,4,2021,277.0,0.0,224.0,0.0,10654
2021,5,5,2021,416.0,0.0,426.0,0.0,2608
2021,6,6,2021,135.0,10.0,74.0,0.0,2030
2021,7,7,2021,496.0,50.0,121.0,0.0,2160
2021,8,8,2021,1233.0,0.0,316.0,0.0,2723
2021,9,9,2021,22.0,0.0,404.0,0.0,2962
2021,10,10,2021,825.0,0.0,745.0,0.0,3625
2021,11,11,2021,1503.0,0.0,1626.0,0.0,3268
2021,12,12,2021,2852.0,0.0,1017.0,0.0,3001
2022,1,1,2022,4191.0,0.0,4422.0,0.0,2486
2022,2,2,2022,3785.0,0.0,2361.0,0.0,2075
2022,3,3,2022,41895.0,0.0,14771.0,2.0,5025
2022,4,4,2022,116071.0,36.0,97380.0,768.0,28705
2022,5,5,2022,16861.0,1.0,78435.0,498.0,7436
2022,6,6,2022,2230.0,0.0,4486.0,0.0,5901
2022,7,7,2022,4207.0,0.0,2827.0,0.0,5983
2022,8,8,2022,13478.0,0.0,8815.0,0.0,9409
2022,9,9,2022,7001.0,0.0,10317.0,0.0,10253
2022,10,10,2022,9335.0,0.0,8045.0,0.0,8042
2022,11,11,2022,56562.0,0.0,26747.0,7.0,9659
2022,12,12,2022,45866.0,0.0,48138.0,2.0,10922
