,地区,month,confirmedCount,suspectedCount,deadCount,curedCount
0,上海,01,586,0.0,0,387
1,上海,02,518,0.0,0,329
2,上海,03,1738,0.0,0,1109
3,上海,04,51098,0.0,384,29593
4,上海,05,4662,0.0,166,24029
5,上海,06,243,0.0,0,800
6,上海,07,339,0.0,0,299
7,上海,08,231,0.0,0,264
8,上海,09,316,0.0,0,253
9,上海,10,110,0.0,0,200
10,上海,11,240,0.0,0,123
11,上海,12,397,0.0,0,298
12,云南,01,50,0.0,0,74
13,云南,02,64,0.0,0,46
14,云南,03,110,0.0,0,134
15,云南,04,52,0.0,0,72
16,云南,05,29,1.0,0,43
17,云南,06,25,0.0,0,26
18,云南,07,33,0.0,0,31
19,云南,08,70,0.0,0,62
20,云南,09,125,0.0,0,89
21,云南,10,258,0.0,0,215
22,云南,11,1389,0.0,0,362
23,云南,12,812,0.0,0,1088
24,内蒙古,01,5,0.0,0,61
25,内蒙古,02,388,0.0,0,41
26,内蒙古,03,85,0.0,0,424
27,内蒙古,04,65,0.0,0,18
28,内蒙古,05,3,0.0,0,62
29,内蒙古,06,341,0.0,0,297
30,内蒙古,07,69,0.0,0,101
31,内蒙古,08,215,0.0,0,166
32,内蒙古,09,375,0.0,0,360
33,内蒙古,10,1739,0.0,0,1323
34,内蒙古,11,2507,0.0,0,2566
35,内蒙古,12,573,0.0,0,1081
36,北京,01,87,0.0,0,19
37,北京,02,112,0.0,0,119
38,北京,03,288,0.0,0,314
39,北京,04,333,0.0,0,129
40,北京,05,1213,0.0,0,1060
41,北京,06,301,0.0,0,708
42,北京,07,66,0.0,0,76
43,北京,08,223,0.0,0,203
44,北京,09,239,0.0,0,237
45,北京,10,496,0.0,0,291
46,北京,11,7903,0.0,4,2730
47,北京,12,11409,0.0,0,6662
48,吉林,01,1,0.0,0,4
49,吉林,02,13,0.0,0,2
50,吉林,03,28457,0.0,2,5267
51,吉林,04,9769,0.0,0,32055
52,吉林,05,82,0.0,0,1443
53,吉林,06,0,0.0,0,47
54,吉林,07,0,0.0,0,1
55,吉林,08,12,0.0,0,0
56,吉林,09,19,0.0,0,18
57,吉林,10,0,0.0,0,0
58,吉林,11,89,0.0,0,0
59,吉林,12,45,0.0,0,115
60,四川,01,51,0.0,0,42
61,四川,02,85,0.0,0,38
62,四川,03,270,0.0,0,240
63,四川,04,290,0.0,0,340
64,四川,05,283,0.0,0,143
65,四川,06,41,0.0,0,215
66,四川,07,286,0.0,0,48
67,四川,08,883,0.0,0,408
68,四川,09,1935,0.0,0,2019
69,四川,10,634,0.0,0,1186
70,四川,11,2919,0.0,1,1237
71,四川,12,1862,0.0,1,2417
72,天津,01,426,0.0,0,233
73,天津,02,47,0.0,0,89
74,天津,03,660,0.0,0,405
75,天津,04,16,0.0,0,293
76,天津,05,171,0.0,0,59
77,天津,06,33,0.0,0,76
