地区,GDP,Population,Average_Disposable_Income,Industrial_Added_Value,Number_of_Health_Care_Institutions,Urban_Population,Rural_Population,Mobile_Internet_User,Number_medical_insurance,Aging_of_Population,5g_base_station,5g_user,land_area,Under_Graduate,Post_Graduate,Top_Rank_University,Public_Expenditure,Educational_Expenditure,Science_Expenditure,Insurance_Expenditure,Health_Expenditure
北京,41610.9,2184.3,77415,5855.1,12211,1912.8,271.5,3926.9,1886.9,0.188048307,76000,1436,1.7,60.3,43.5,34,7469,1171,488,1067,775
天津,15685.1,1363,48976,5056.5,6282,1160,203,1536.83,1175,0.177577236,54000,572.6,1.2,59.45,9.28,5,2751,480,63,553,174
河北,42370.4,7420,30867,14132.3,90206,4575,2845,7578.8,7091,0.175820458,83800,2559.4,19,177.37,8.18,1,9336,1767,117,1622,930
山西,25642.59,3481.35,29178,10543.6,41007,2226.5,1254.85,3325.81,3246,0.174473734,67000,1356.5,16,13.6,5.6,2,5872,861,61,999,494
内蒙古,23159,2401.17,35921,8443.8,25062,1647.2,753.97,2577,2192.2,0.17043903,42000,874.4,118,53.5,3.8,1,3364,79,10,238,19
辽宁,28975.1,4197,36089,9386.5,32679,3064,1133,2420.8,3808.3,0.167774488,67000,1471.7,15,118,17.2,4,8858,703,78,1649,399
吉林,13070.24,2347.69,35471,3839.5,25344,1496.1,851.51,2429.8,2290.3,0.167143652,28000,898.8,19,78.87,9.69,3,4044,497.8,22.4,896.9,381.6
黑龙江,15901,3099,28346,3751,20599,2052,1047,3136.9,2821.1,0.159239453,54000,1134.8,46,91.2,11.3,4,5250,605,38,1450,364
上海,44652.8,2487.0895,79610,10676.7,6421,2220.938,266.1515,3616.6,1978.5,0.159205007,68000,1275.6,0.634,55.48,24.49,15,9393.2,1109,427.8,1144.5,803.9
江苏,122875.6,8515,49862,45730.7,36997,6335.16,2179.84,8753.62,8063.8,0.154674156,186000,3631.8,10,221.9,30,16,14903,2597,679,1945,1440
浙江,77715,6577,57541,26996,35120,4827.518,1749.482,7483.37,5654.5,0.15440813,167000,3301,10,121.03,12.986,3,12017.7,2109.73,680.89,1400.55,1236.08
安徽,45045,6127,32745,12790.8,30176,3686,2441,5276.7,6661.9,0.154239813,80000,2005.5,14,155.4,11.1,3,8378,1420,508,1426,807
福建,53109.85,4188,43118,18292.8,29100,2937,1251,4281.84,3872.1,0.149191862,71000,1551.1,12,107.61,8.53,2,5637,1184,165,637,583
江西,32074.7,4527.98,32419,10862.9,35690,2810.52,1717.46,3974.7,4689.1,0.142333405,64000,1556,17,146.4,6.6,1,7288.3,1319.7,227.8,1023,707.9
山东,87435.1,10162.79,37560,26894.1,86000,6559.06,3603.73,9770.6,9732.4,0.141685794,162000,3517.6,16,85.3,16.5,3,12131,2628,312,1962,1235
河南,61345.05,9872,28222,18113.7,81273,5633,4239,9136.57,10339.2,0.139960837,146000,3564.5,17,282.33,9.1916,2,9784,1786,329,1560,1018
湖北,53734.92,5844,32914,16040.7,36781,3779,2065,5041.08,5619.7,0.139894344,82400,1842.6,19,177.26,21.89,7,8626,1278,374,1558,800
湖南,48670.4,6604,31993,13959,55329,3983,2621,6026.18,6748.7,0.138405854,88000,2302.3,21,168.5,11.8,5,9005.25,1502.45,279.91,1442.02,821.84
广东,129118.58,12656.8,47065,45510.3,59500,9465.4,3191.4,15097.28,11271.9,0.136803841,226000,6085.2,18,267.09,21.1,8,18509.93,3873.61,984.61,2149.01,2075.91
广西,26300.87,5047,27981,6439.8,34502,2809,2238,5177.8,5249.3,0.13042324,66000,1785.9,24,140.75,6.41,1,7122,1139,102,987,636
海南,6818.22,1027.02,30957,693.1,6430,631.51,395.51,989.43,938.8,0.12589274,18000,416.1,3.4,20,1.5,1,2210,311,49,260,197
重庆,29129.03,3213.34,35666,7940.5,22243,2280.32,933.02,3448.03,3261.7,0.124062115,80000,1250.7,8.2,106.61,10.55,2,4179,148,27,577,188
四川,56749.8,8374,30679,15546.1,74123,4886.2,3487.8,8400.4,8586.2,0.117628315,108000,2985.8,49,205.2,15.9,8,11914,1863,229,2238,1171
贵州,19458.6,3852,23996,5231.3,29292,2093,1759,3811.02,4214.5,0.115372475,80000,1396.8,18,88.16,3.17,1,5849,1154,88,737,583
云南,28954.2,4693,26937,6555.8,27527,2427,2266,4275.14,4521.9,0.112748354,64000,1591.7,39,145.27,7.16,1,6699.7,1164.9,45,353.1,221.8
西藏,2080.2,366,24950,189.9,6907,134,232,299.8,346,0.108148148,8100,79.8,120.28,4.1304,0.4255,1,4,0,0,0.03,0.02
陕西,32772.68,3956,30116,11538.1,34779,2532,1424,4115.16,3891.6,0.100547017,59000,1565.4,21,130.44,20.16,8,5602.3,1060,109.8,1071.5,668.2
甘肃,11201.6,2492.42,23273.1,2835.4,25267,1350.64,1141.78,2434.24,2587.2,0.098902846,28000,886.9,43,50,125,1,2964,123,0.8,205,171
青海,3610.07,595,27000,980.2,6408,366,229,609.07,567,0.091201429,10000,243.2,72,10.26,0.9918,1,2182,229,11,325,185
宁夏,4588.2,725,27905,1762.2,4571,479,246,750.82,663.4,0.080832756,9400,323,6.6,17.25,1.1527,1,1583,212,25,273,136
新疆,17741.34,2587,27063,5057.9,15040,1498,1089,2435.4,2326.4,0.0580945,33000,783.9,166,61.14,4.33,2,5726.1,974.5,48.7,707.4,506.3
